"","STL","ATL","Series Winner"
"1120","1","3","ATL"
"1121","3","2","STL"
"1122","1","3","ATL"
"1123","3","1","STL"
"1124","3","2","STL"
"1125","1","3","ATL"
"1126","0","3","ATL"
"1127","3","0","STL"
"1128","0","3","ATL"
"1129","2","3","ATL"
"1130","2","3","ATL"
"1131","1","3","ATL"
"1132","3","1","STL"
"1133","1","3","ATL"
"1134","3","0","STL"
"1135","3","1","STL"
"1136","0","3","ATL"
"1137","3","0","STL"
"1138","3","2","STL"
"1139","3","0","STL"
"1140","2","3","ATL"
"1141","2","3","ATL"
"1142","0","3","ATL"
"1143","3","0","STL"
"1144","2","3","ATL"
"1145","3","2","STL"
"1146","1","3","ATL"
"1147","1","3","ATL"
"1148","2","3","ATL"
"1149","3","0","STL"
"1150","2","3","ATL"
"1151","3","1","STL"
"1152","0","3","ATL"
"1153","1","3","ATL"
"1154","0","3","ATL"
"1155","2","3","ATL"
"1156","1","3","ATL"
"1157","2","3","ATL"
"1158","3","2","STL"
"1159","1","3","ATL"
"1160","2","3","ATL"
"1161","2","3","ATL"
"1162","0","3","ATL"
"1163","1","3","ATL"
"1164","2","3","ATL"
"1165","0","3","ATL"
"1166","1","3","ATL"
"1167","2","3","ATL"
"1168","3","2","STL"
"1169","2","3","ATL"
"1170","3","2","STL"
"1171","2","3","ATL"
"1172","2","3","ATL"
"1173","2","3","ATL"
"1174","1","3","ATL"
"1175","3","1","STL"
"1176","3","2","STL"
"1177","3","1","STL"
"1178","1","3","ATL"
"1179","3","0","STL"
"1180","3","0","STL"
